Code,Site,Year,Type,Dups,PCB,Flag,Concentration
MERY 1,MERY,1999,NA,NA,PCB_44,TRUE,2
MERY 1,MERY,1999,NA,NA,PCB_50,TRUE,2
MERY 1,MERY,1999,NA,NA,PCB_52,TRUE,2
MERY 1,MERY,1999,NA,NA,PCB_66_95,TRUE,2
MERY 1,MERY,1999,NA,NA,PCB_77,TRUE,2
MERY 1,MERY,1999,NA,NA,PCB_87,TRUE,1.5
MERY 1,MERY,1999,NA,NA,PCB_101_90,FALSE,2.8
MERY 1,MERY,1999,NA,NA,PCB_105,TRUE,1
MERY 1,MERY,1999,NA,NA,PCB_118,FALSE,2.8
MERY 1,MERY,1999,NA,NA,PCB_126,TRUE,1.5
MERY 1,MERY,1999,NA,NA,PCB_128,TRUE,1
MERY 1,MERY,1999,NA,NA,PCB_138,FALSE,5.4
MERY 1,MERY,1999,NA,NA,PCB_153_132,FALSE,7.1
MERY 1,MERY,1999,NA,NA,PCB_169,TRUE,1.5
MERY 1,MERY,1999,NA,NA,PCB_170_190,TRUE,1.5
MERY 1,MERY,1999,NA,NA,PCB_180,TRUE,1
MERY 1,MERY,1999,NA,NA,PCB_187,FALSE,2.6
MERY 1,MERY,1999,NA,NA,PCB_195_208,TRUE,1.5
MERY 1,MERY,1999,NA,NA,PCB_206,TRUE,1.5
MERY 1,MERY,1999,NA,NA,PCB_209,NA,NA
MERY 1,MERY,1999,NA,NA,Total,FALSE,21
MERY 2,MERY,1999,NA,NA,PCB_8_5,TRUE,2
MERY 2,MERY,1999,NA,NA,PCB_18_15,TRUE,2
MERY 2,MERY,1999,NA,NA,PCB_28,TRUE,2
MERY 2,MERY,1999,NA,NA,PCB_29,TRUE,1
MERY 2,MERY,1999,NA,NA,PCB_44,TRUE,2
MERY 2,MERY,1999,NA,NA,PCB_50,TRUE,2
MERY 2,MERY,1999,NA,NA,PCB_52,TRUE,2
MERY 2,MERY,1999,NA,NA,PCB_66_95,TRUE,2
MERY 2,MERY,1999,NA,NA,PCB_77,TRUE,2
MERY 2,MERY,1999,NA,NA,PCB_87,TRUE,1.5
MERY 2,MERY,1999,NA,NA,PCB_101_90,FALSE,1.2
MERY 2,MERY,1999,NA,NA,PCB_105,TRUE,1
MERY 2,MERY,1999,NA,NA,PCB_118,FALSE,2.1
MERY 2,MERY,1999,NA,NA,PCB_126,TRUE,1.5
MERY 2,MERY,1999,NA,NA,PCB_128,TRUE,1
MERY 2,MERY,1999,NA,NA,PCB_138,FALSE,3.6
MERY 2,MERY,1999,NA,NA,PCB_153_132,FALSE,5.2
MERY 2,MERY,1999,NA,NA,PCB_169,TRUE,1.5
MERY 2,MERY,1999,NA,NA,PCB_170_190,TRUE,1.5
MERY 2,MERY,1999,NA,NA,PCB_180,TRUE,1
MERY 2,MERY,1999,NA,NA,PCB_187,FALSE,1.2
MERY 2,MERY,1999,NA,NA,PCB_195_208,TRUE,1.5
MERY 2,MERY,1999,NA,NA,PCB_206,TRUE,1.5
MERY 2,MERY,1999,NA,NA,PCB_209,NA,NA
MERY 2,MERY,1999,NA,NA,Total,FALSE,13
MERY 3,MERY,1999,NA,NA,PCB_8_5,TRUE,2
MERY 3,MERY,1999,NA,NA,PCB_18_15,TRUE,2
MERY 3,MERY,1999,NA,NA,PCB_28,TRUE,2
MERY 3,MERY,1999,NA,NA,PCB_29,TRUE,1
MERY 3,MERY,1999,NA,NA,PCB_44,TRUE,2
MERY 3,MERY,1999,NA,NA,PCB_50,TRUE,2
MERY 3,MERY,1999,NA,NA,PCB_52,TRUE,2
MERY 3,MERY,1999,NA,NA,PCB_66_95,TRUE,2
MERY 3,MERY,1999,NA,NA,PCB_77,TRUE,2
MERY 3,MERY,1999,NA,NA,PCB_87,TRUE,1.5
MERY 3,MERY,1999,NA,NA,PCB_101_90,FALSE,2.2
