Code,Site,Year,Type,Surrogate,Pesticide,Flag,Concentration
MEBC1P,MEBC,1995,NA,88,cis_Chlordane,TRUE,2
MEBC1P,MEBC,1995,NA,88,Transnonachlor,TRUE,2
MEBC1P,MEBC,1995,NA,88,pp_DDE,FALSE,3.7
MEBC1P,MEBC,1995,NA,88,Dieldrin,TRUE,2
MEBC1P,MEBC,1995,NA,88,op_DDD,FALSE,3
MEBC1P,MEBC,1995,NA,88,b_Endosulfan,TRUE,2
MEBC1P,MEBC,1995,NA,88,pp_DDD,TRUE,2
MEBC1P,MEBC,1995,NA,88,op_DDT,TRUE,2
MEBC1P,MEBC,1995,NA,88,pp_DDT,TRUE,2
MEBC1P,MEBC,1995,NA,88,Mirex,TRUE,2
MEBC1P,MEBC,1995,NA,88,Total,FALSE,6.7
MEBC2P,MEBC,1995,NA,71,HCB,TRUE,2
MEBC2P,MEBC,1995,NA,71,g_HCH,TRUE,2
MEBC2P,MEBC,1995,NA,71,Heptachlor,TRUE,2
MEBC2P,MEBC,1995,NA,71,Aldrin,TRUE,2
MEBC2P,MEBC,1995,NA,71,Heptachlor Epoxide,TRUE,2
MEBC2P,MEBC,1995,NA,71,op_DDE,TRUE,2
MEBC2P,MEBC,1995,NA,71,a_Endosulfan,TRUE,2
MEBC2P,MEBC,1995,NA,71,cis_Chlordane,TRUE,2
MEBC2P,MEBC,1995,NA,71,Transnonachlor,TRUE,2
MEBC2P,MEBC,1995,NA,71,pp_DDE,FALSE,3.4
MEBC2P,MEBC,1995,NA,71,Dieldrin,TRUE,2
MEBC2P,MEBC,1995,NA,71,op_DDD,FALSE,2.5
MEBC2P,MEBC,1995,NA,71,b_Endosulfan,TRUE,2
MEBC2P,MEBC,1995,NA,71,pp_DDD,TRUE,2
MEBC2P,MEBC,1995,NA,71,op_DDT,TRUE,2
MEBC2P,MEBC,1995,NA,71,pp_DDT,TRUE,2
MEBC2P,MEBC,1995,NA,71,Mirex,TRUE,2
MEBC2P,MEBC,1995,NA,71,Total,FALSE,5.9
MEBC3P,MEBC,1995,NA,81,HCB,TRUE,2
MEBC3P,MEBC,1995,NA,81,g_HCH,TRUE,2
MEBC3P,MEBC,1995,NA,81,Heptachlor,TRUE,2
